topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Gaussian Processes and Bayesian Inference,2018,35,117,32,100,0.048265460030165915,0.29,2.84,0.9197579845268798,1.0,-0.31358012103303956,4.0,1.6094379124341003,0.02857142857142857,0.035246727089627394,0.2564102564102564,3.3846153846153846,0.9332999999999998,0.9910233393177738,3.5714285714285716,9.0,0.5021848739495798
Gaussian Processes and Bayesian Inference,2019,36,141,35,117,0.035246727089627394,0.2564102564102564,3.3846153846153846,0.9332999999999998,0.9910233393177738,-0.3220737531710629,3.0,1.3862943611198906,0.05555555555555555,0.025513819985825654,0.2553191489361702,4.127659574468085,0.9264652047094389,1.0,4.111111111111111,6.5,0.6851851851851852
Gaussian Processes and Bayesian Inference,2020,44,162,36,141,0.025513819985825654,0.2553191489361702,4.127659574468085,0.9264652047094389,1.0,-0.08382969286526532,2.5,1.252762968495368,0.06818181818181818,0.023454157782515993,0.3271604938271605,3.419753086419753,0.9539808937950446,1.0,3.7954545454545454,4.0,0.7280618686868687
Gaussian Processes and Bayesian Inference,2021,54,178,44,162,0.023454157782515993,0.3271604938271605,3.419753086419753,0.9539808937950446,1.0,0.007538220003800333,1.0,0.6931471805599453,0.018518518518518517,0.02363238512035011,0.3089887640449438,3.5730337078651684,0.9514739965190416,0.9953161592505855,3.6666666666666665,1.0,0.6254480286738351
Gaussian Processes and Bayesian Inference,2022,36,134,54,178,0.02363238512035011,0.3089887640449438,3.5730337078651684,0.9514739965190416,0.9953161592505855,-0.3818182913333792,0.0,0.0,0.0,0.016100178890876567,0.30597014925373134,3.2686567164179103,0.9540251454306624,1.0,3.8333333333333335,2.0,0.7695195195195195
Gaussian Processes and Bayesian Inference,2023,31,116,36,134,0.016100178890876567,0.30597014925373134,3.2686567164179103,0.9540251454306624,1.0,-0.36348810958680655,1.0,0.6931471805599453,0.03225806451612903,0.011163125675189053,0.29310344827586204,3.4655172413793105,0.9277493131358132,1.0,3.774193548387097,1.0,0.7512544802867384
Generative Adversarial Networks and Image Synthesis,2016,20,80,12,38,0.03116883116883117,0.3157894736842105,2.9473684210526314,0.8386479591836735,1.0,0.14287360913619818,15.5,2.803360380906535,0.35,0.03597122302158273,0.3125,4.25,0.8523135323689338,0.9949409780775719,4.25,30.5,0.6262599469496021
Generative Adversarial Networks and Image Synthesis,2017,35,138,20,80,0.03597122302158273,0.3125,4.25,0.8523135323689338,0.9949409780775719,0.3827254428710458,19.0,2.995732273553991,0.4857142857142857,0.05279034690799397,0.2971014492753623,3.9420289855072466,0.9220147603985989,1.0,4.314285714285714,47.0,0.6203378453965768
Generative Adversarial Networks and Image Synthesis,2018,38,144,35,138,0.05279034690799397,0.2971014492753623,3.9420289855072466,0.9220147603985989,1.0,-0.3210003199059157,11.0,2.4849066497880004,0.21052631578947367,0.038267875125881166,0.2916666666666667,3.861111111111111,0.9408695431922093,1.0,3.8947368421052633,29.0,0.39890764647467725
Generative Adversarial Networks and Image Synthesis,2019,60,231,38,144,0.038267875125881166,0.2916666666666667,3.861111111111111,0.9408695431922093,1.0,0.10517427098014487,5.5,1.8718021769015913,0.18333333333333332,0.042523033309709427,0.2987012987012987,3.6363636363636362,0.9634013605442171,1.0,3.933333333333333,14.0,0.6036451169188446
Generative Adversarial Networks and Image Synthesis,2020,68,247,60,231,0.042523033309709427,0.2987012987012987,3.6363636363636362,0.9634013605442171,1.0,-0.15927391562493654,4.0,1.6094379124341003,0.17647058823529413,0.03624733475479744,0.29554655870445345,3.5465587044534415,0.9609746732322896,1.0,3.7941176470588234,5.0,0.724537518187487
Generative Adversarial Networks and Image Synthesis,2021,71,273,68,247,0.03624733475479744,0.29554655870445345,3.5465587044534415,0.9609746732322896,1.0,-0.15359388467302448,1.0,0.6931471805599453,0.2112676056338028,0.031072210065645513,0.27472527472527475,4.007326007326007,0.9380938106843563,1.0,4.028169014084507,2.0,0.8520872527584278
Generative Adversarial Networks and Image Synthesis,2022,70,312,71,273,0.031072210065645513,0.27472527472527475,4.007326007326007,0.9380938106843563,1.0,0.007468886698863919,2.0,1.0986122886681096,0.14285714285714285,0.03130590339892665,0.3333333333333333,4.7243589743589745,0.9523906394170337,1.0,4.614285714285714,5.0,0.7829825347066727
Generative Adversarial Networks and Image Synthesis,2023,89,444,70,312,0.03130590339892665,0.3333333333333333,4.7243589743589745,0.9523906394170337,1.0,0.02338464674928087,2.0,1.0986122886681096,0.2247191011235955,0.03204897371263954,0.31756756756756754,5.328828828828829,0.9713975595665344,0.9974382763061334,5.258426966292135,5.0,0.7253666561657741
Generative Adversarial Networks and Image Synthesis,2024,24,120,89,444,0.03204897371263954,0.31756756756756754,5.328828828828829,0.9713975595665344,0.9974382763061334,-1.0021446526570617,1.0,0.6931471805599453,0.08333333333333333,0.011701608971233545,0.275,4.95,0.924939632010339,1.0,5.041666666666667,,0.7029569892473119
Human Pose and Action Recognition,2021,25,115,12,48,0.006396588486140725,0.25,4.375,0.6949659863945579,0.0,0.5303310926728164,1.0,0.6931471805599453,0.16,0.010940919037199124,0.2608695652173913,4.173913043478261,0.9434375000000002,0.0,4.6,4.0,0.8384615384615385
Human Pose and Action Recognition,2022,30,149,25,115,0.010940919037199124,0.2608695652173913,4.173913043478261,0.9434375000000002,0.0,0.20232623735581523,4.0,1.6094379124341003,0.13333333333333333,0.013416815742397137,0.2751677852348993,4.832214765100671,0.9428317737859435,1.0,5.066666666666666,8.0,0.6227642276422765
Human Pose and Action Recognition,2023,34,184,30,149,0.013416815742397137,0.2751677852348993,4.832214765100671,0.9428317737859435,1.0,-0.09081073222488101,2.0,1.0986122886681096,0.14705882352941177,0.012243428159884768,0.28804347826086957,6.858695652173913,0.8996614793229587,0.9952515366554985,5.705882352941177,3.0,0.6542656797818465
Human Pose and Action Recognition,2024,20,122,34,184,0.012243428159884768,0.28804347826086957,6.858695652173913,0.8996614793229587,0.9952515366554985,-0.2255162199402978,1.0,0.6931471805599453,0.05,0.009751340809361287,0.1721311475409836,5.983606557377049,0.9140326515293676,0.0,6.1,,0.6111111111111112
Machine Learning and Algorithms,2013,25,76,34,93,0.09523809523809523,0.1935483870967742,2.6451612903225805,0.8812214951417805,1.0,-0.29018157525620003,2.0,1.0986122886681096,0.16,0.07122507122507123,0.2631578947368421,2.6842105263157894,0.9209919261822378,1.0,3.12,5.0,0.6288695652173913
Machine Learning and Algorithms,2014,31,83,25,76,0.07122507122507123,0.2631578947368421,2.6842105263157894,0.9209919261822378,1.0,0.08932562999495941,2.0,1.0986122886681096,0.0,0.07788944723618091,0.24096385542168675,2.433734939759036,0.8823129251700682,0.9937532535137947,2.903225806451613,5.0,0.4283154121863799
Machine Learning and Algorithms,2015,31,87,31,83,0.07788944723618091,0.24096385542168675,2.433734939759036,0.8823129251700682,0.9937532535137947,0.03316678840643439,2.0,1.0986122886681096,0.0,0.08051948051948052,0.21839080459770116,2.5977011494252875,0.9311614065314432,1.0,2.935483870967742,6.0,0.5021037868162693
Machine Learning and Algorithms,2016,39,114,31,87,0.08051948051948052,0.21839080459770116,2.5977011494252875,0.9311614065314432,1.0,-0.13776705747393203,3.0,1.3862943611198906,0.02564102564102564,0.07014388489208633,0.19298245614035087,2.6491228070175437,0.9362880886426591,1.0,3.0256410256410255,4.0,0.5659879336349924
