topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Gaussian Processes and Bayesian Inference,2020,45,166,0.025405786873676783,0.2553191489361702,4.127659574468085,0.9264652047094389,1.0,-0.06304657344430664,3.0,1.3862943611198906,0.06666666666666667,0.02384737678855326,0.3253012048192771,3.4096385542168677,0.955462048471076,1.0,3.8,4.0,0.7202394313505425
Gaussian Processes and Bayesian Inference,2021,56,184,0.02384737678855326,0.3253012048192771,3.4096385542168677,0.955462048471076,1.0,0.020249600462838302,1.0,0.6931471805599453,0.03571428571428571,0.024337244676227728,0.29891304347826086,3.5543478260869565,0.9526349988030505,1.0,3.6607142857142856,1.0,0.6376050420168067
Gaussian Processes and Bayesian Inference,2022,40,145,0.024337244676227728,0.29891304347826086,3.5543478260869565,0.9526349988030505,1.0,-0.5234681034984661,0.0,0.0,0.025,0.014378145219266714,0.2896551724137931,3.1586206896551725,0.9574188135237696,1.0,3.725,1.0,0.8026315789473685
Gaussian Processes and Bayesian Inference,2023,41,151,0.014378145219266714,0.2896551724137931,3.1586206896551725,0.9574188135237696,1.0,-0.2007778584681752,0.0,0.0,0.024390243902439025,0.011744485820681752,0.271523178807947,3.3642384105960264,0.9360778721557443,1.0,3.7560975609756095,1.0,0.8119241192411925
Generative Adversarial Networks and Image Synthesis,2016,20,80,0.035623409669211195,0.3333333333333333,2.888888888888889,0.8695857988165681,1.0,0.002540649191180133,15.5,2.803360380906535,0.35,0.03571428571428571,0.3125,4.25,0.852313532368934,0.9949409780775716,4.25,30.0,0.6288359788359789
Generative Adversarial Networks and Image Synthesis,2017,35,138,0.03571428571428571,0.3125,4.25,0.852313532368934,0.9949409780775716,0.3838703391629692,19.0,2.995732273553991,0.4857142857142857,0.05247376311844078,0.2971014492753623,3.9420289855072466,0.9220147603985988,1.0,4.314285714285714,48.0,0.6213953488372093
Generative Adversarial Networks and Image Synthesis,2018,38,144,0.05247376311844078,0.2971014492753623,3.9420289855072466,0.9220147603985988,1.0,-0.31800539048448506,11.0,2.4849066497880004,0.21052631578947367,0.03815261044176707,0.2916666666666667,3.861111111111111,0.9408695431922088,1.0,3.8947368421052633,29.0,0.3990069513406157
Generative Adversarial Networks and Image Synthesis,2019,61,235,0.03815261044176707,0.2916666666666667,3.861111111111111,0.9408695431922088,1.0,0.12044035561779243,6.0,1.9459101490553132,0.18032786885245902,0.043048694424841216,0.2978723404255319,3.6595744680851063,0.9638939967550028,1.0,3.9508196721311477,14.0,0.5995191256830601
Generative Adversarial Networks and Image Synthesis,2020,69,251,0.043048694424841216,0.2978723404255319,3.6595744680851063,0.9638939967550028,1.0,-0.16280287229973522,4.0,1.6094379124341003,0.17391304347826086,0.03656597774244833,0.2948207171314741,3.537848605577689,0.9618381517485166,1.0,3.7971014492753623,5.0,0.7255445278519489
Generative Adversarial Networks and Image Synthesis,2021,72,275,0.03656597774244833,0.2948207171314741,3.537848605577689,0.9618381517485166,1.0,-0.1553362426306193,1.0,0.6931471805599453,0.20833333333333334,0.03129074315514994,0.27636363636363637,4.036363636363636,0.9374402696041446,0.9967500705201687,4.041666666666667,2.0,0.8541415964701163
Generative Adversarial Networks and Image Synthesis,2022,83,378,0.03129074315514994,0.27636363636363637,4.036363636363636,0.9374402696041446,0.9967500705201687,-0.04749632873582943,2.0,1.0986122886681096,0.14457831325301204,0.029834651329978434,0.30687830687830686,4.7407407407407405,0.9636253219693004,1.0,4.698795180722891,4.0,0.8169732220417721
Generative Adversarial Networks and Image Synthesis,2023,106,533,0.029834651329978434,0.30687830687830686,4.7407407407407405,0.9636253219693004,1.0,0.01752213412509862,2.0,1.0986122886681096,0.2358490566037736,0.03036379260956746,0.29831144465290804,5.399624765478424,0.9753714375551261,0.999238406469391,5.254716981132075,3.0,0.7694116264033386
Human Pose and Action Recognition,2021,25,115,0.006359300476947536,0.25,4.375,0.6949659863945579,0.0,0.529172888498362,1.0,0.6931471805599453,0.16,0.01086484137331595,0.2608695652173913,4.173913043478261,0.9434374999999999,0.0,4.6,4.0,0.8384615384615385
Human Pose and Action Recognition,2022,34,164,0.01086484137331595,0.2608695652173913,4.173913043478261,0.9434374999999999,0.0,0.1166455749708799,3.5,1.5040773967762742,0.14705882352941177,0.012221423436376708,0.2621951219512195,4.7439024390243905,0.9486672219908372,1.0,4.9411764705882355,8.0,0.667144906743185
Human Pose and Action Recognition,2023,40,209,0.012221423436376708,0.2621951219512195,4.7439024390243905,0.9486672219908372,1.0,-0.06395862858664803,1.0,0.6931471805599453,0.15,0.011458034947006588,0.2631578947368421,6.44976076555024,0.9110823957327208,0.9963067507320548,5.475,1.5,0.7061258278145696
Machine Learning and Algorithms,2013,26,79,0.09418282548476455,0.1935483870967742,2.6451612903225805,0.8812214951417807,1.0,-0.24272547476184902,2.0,1.0986122886681096,0.15384615384615385,0.07386363636363637,0.26582278481012656,2.6582278481012658,0.924625850340136,1.0,3.1153846153846154,5.5,0.620026525198939
